program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,stand_up,money,bed_time,good_day1,good_day2
Business Analytics,yes,yes,yes,yes,male,no idea,no,7,23:00,Beer,Sex
Artificial Intelligence,yes,yes,yes,yes,male,no idea,no,50,03:30,Friends,Sex
Business Analytics,yes,yes,yes,yes,unknown,neither,no,0.25,23:30,Free time,Sex
Artificial Intelligence,yes,yes,yes,yes,female,neither,no,0.25,01:00,Food,Sleep
Econometrics and Operations Research,no,no,yes,no,male,no idea,no,1,unknown,TV,Sleep
Business Analytics,yes,yes,yes,yes,male,no idea,no,10,23:00,Weather,Sleep
Business Analytics,yes,yes,yes,yes,female,fat,no,30,23:30,Work,Sleep
Bioinformatics and Systems Biology,yes,no,no,no,male,neither,no,0.25,01:30,Free time,Sleep
Artificial Intelligence,yes,yes,yes,yes,male,neither,no,1,03:00,Beer,Sports
Business Analytics,yes,yes,no,yes,male,neither,no,unknown,23:00,Food,Sports
Computational Science,yes,no,yes,yes,female,fat,no,0.05,01:00,Sleep,Sports
Artificial Intelligence,yes,no,yes,no,male,neither,no,10,00:40,Food,Sports
Artificial Intelligence,no,no,yes,no,male,fat,no,50,03:00,Sleep,Sports
Business Analytics,yes,no,yes,no,male,fat,no,5,01:30,Sleep,Sports
Artificial Intelligence,yes,yes,yes,yes,male,no idea,no,90,02:00,Sleep,Free time
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,0.5,00:00,Food,Weather
Business Analytics,yes,yes,yes,yes,male,no idea,no,100,01:00,Weather,Weather
Artificial Intelligence,yes,yes,no,yes,female,fat,no,50,00:25,Weather,Weather
Artificial Intelligence,yes,yes,yes,no,female,fat,no,0.25,02:00,Friends,Weather
Computational Science,no,no,no,no,male,slim,no,0.34,02:00,TV,Weather
Business Analytics,yes,yes,yes,yes,male,neither,no,42,00:00,Fun,Weather
Artificial Intelligence,no,no,yes,no,male,neither,no,unknown,01:00,Free time,Free time
Finance,no,no,yes,no,male,neither,no,0.3,00:15,Free time,Free time
Econometrics and Operations Research,no,no,yes,no,female,no idea,yes,0.003,00:00,Coffee,Weather
PhD,no,no,yes,no,female,fat,no,1,10:30,Sleep,Weather
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.5,23:30,Animals,Weather
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,101,01:00,Free time,Food
Bioinformatics and Systems Biology,yes,no,yes,no,female,no idea,no,5,02:00,Free time,Food
Artificial Intelligence,yes,yes,yes,no,male,fat,no,11,04:00,Friends,Beer
Business Analytics,yes,yes,yes,yes,male,no idea,no,0,00:30,unknown,unknown
Computational Science,yes,no,no,no,male,neither,no,0,04:30,unknown,unknown
Economics,no,no,yes,no,female,neither,no,0.25,23:00,unknown,unknown
Artificial Intelligence,yes,yes,yes,no,male,no idea,no,6,02:00,unknown,unknown
Finance,no,no,yes,no,male,neither,no,5,01:30,unknown,unknown
PhD,yes,no,yes,yes,male,fat,no,0.25,23:00,Sex,unknown
Business Analytics,yes,yes,yes,yes,male,fat,no,1,23:05,Coffee,Sleep
Artificial Intelligence,yes,yes,no,no,male,no idea,yes,1,12:30,Work,TV
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.4,03:00,Friends,Weather
Business Analytics,yes,no,yes,no,male,neither,no,0.25,00:00,Sleep,Weather
Computational Science,yes,no,yes,no,male,neither,no,1,01:00,Free time,Free time
Physics,no,yes,yes,no,male,neither,no,0.4,01:30,Friends,Sleep
Econometrics and Operations Research,yes,no,yes,no,male,no idea,no,99,08:00,Food,unknown
Finance,no,no,yes,no,male,fat,no,5,00:30,Weather,unknown
